magnet	S_start	S_end	S_centre	angle	offset_centre
Dipole 0	-5.180000000000	0.000000000000	-2.590000000000	-0.034169884157	0.215500000000
QD 0	3.031500000000	3.770500000000	3.401000000000	0.309878203884	0.263500000000
QF 0	4.485000000000	5.207000000000	4.846000000000	-0.506925164334	0.123000000000
QC 0	10.758500000000	11.141500000000	10.950000000000	-0.255874668045	0.053000000000
Dipole 1	11.156282000000	16.336282000000	13.746282000000	-0.083783783588	-0.264000000000
QD 1	19.367782000000	20.106782000000	19.737282000000	0.113667117237	0.059000000000
QF 1	20.821282000000	21.543282000000	21.182282000000	-0.088642659048	0.172000000000
Dipole 2	27.492564000000	32.672564000000	30.082564000000	0.067374517273	-0.334500000000
QD 2	35.704064000000	36.443064000000	36.073564000000	-0.040595399166	0.572000000000
QF 2	37.157564000000	37.879564000000	37.518564000000	0.001385041551	0.528500000000
QC 2	43.431064000000	43.814064000000	43.622564000000	-0.887728226335	0.086000000000
Dipole 3	43.828846000000	49.008846000000	46.418846000000	0.081660231479	0.347500000000
QD 3	52.040346000000	52.779346000000	52.409846000000	0.998646488045	0.127000000000
QF 3	53.493846000000	54.215846000000	53.854846000000	-0.225761769017	0.119500000000
QC 3	59.767346000000	60.150346000000	59.958846000000	-0.621409841685	-0.003000000000
Dipole 4	60.165128000000	65.345128000000	62.755128000000	0.015057915057	-0.538000000000
QD 4	68.376628000000	69.115628000000	68.746128000000	0.633288142673	0.453000000000
QF 4	69.830128000000	70.552128000000	70.191128000000	-0.271468137376	0.647000000000
Dipole 5	76.501410000000	81.681410000000	79.091410000000	0.070077219962	0.488500000000
QD 5	84.712910000000	85.451910000000	85.082410000000	0.640054039795	0.644500000000
QF 5	86.166410000000	86.888410000000	86.527410000000	-0.030470914118	0.722000000000
QC 5	92.439910000000	92.822910000000	92.631410000000	-0.618798876632	0.564500000000
Dipole 6	92.837692000000	98.017692000000	95.427692000000	0.011196911196	0.352000000000
QD 6	101.049192000000	101.788192000000	101.418692000000	0.400541250569	0.418000000000
QF 6	102.502692000000	103.224692000000	102.863692000000	-0.554016563816	0.688000000000
QC 6	108.776192000000	109.159192000000	108.967692000000	0.297650121758	0.326000000000
Dipole 7	109.173974000000	114.353974000000	111.763974000000	0.084169883971	-0.212000000000
QD 7	117.385474000000	118.124474000000	117.754974000000	0.523680601655	0.582500000000
QF 7	118.838974000000	119.560974000000	119.199974000000	-0.081717451342	0.712500000000
QC 7	125.112474000000	125.495474000000	125.303974000000	-0.516971233318	0.413000000000
Dipole 8	125.510256000000	130.690256000000	128.100256000000	-0.025675675670	0.486500000000
QD 8	133.721756000000	134.460756000000	134.091256000000	0.771312431617	0.541000000000
QF 8	135.175256000000	135.897256000000	135.536256000000	-0.067867035907	0.705500000000
QC 8	141.448756000000	141.831756000000	141.640256000000	-0.177545690041	0.580000000000
Dipole 9	141.846538000000	147.026538000000	144.436538000000	-0.008687258687	-0.386500000000
QD 9	150.058038000000	150.797038000000	150.427538000000	0.587280040737	0.453000000000
QF 9	151.511538000000	152.233538000000	151.872538000000	-0.182825482727	0.271000000000
QC 9	157.785038000000	158.168038000000	157.976538000000	0.067885117389	0.589000000000
